CONGLOME,VIVIENDA,HOGAR,UBIGEO,P101,P102,P1172.02,P207,P208A,P301A,MIEPERHO,Pobre_energético,ESTRATO,ingreso_pc_mensual,inseguridad_alimentaria,sexo_mujer,educacion_basica_completa,material_pared,estrato3,ingreso_pc_z,gasto_elec_z
18612,82,11,160101,1,1,146,1,41,10,3,0,2,704.2052408854166,0,0,1,Duradero,Urbano,-0.22050750782069445,1.8702696006132304
18612,117,11,160101,1,8,34,1,54,6,9,1,2,290.44684968171293,1,0,1,Precario,Urbano,-0.6263342169161148,-0.13398289965176835
18644,75,11,160101,1,1,48,1,61,10,3,1,2,2163.9444444444443,0,0,1,Duradero,Urbano,1.2112487289398939,0.11654866288135649
18583,56,11,160101,1,1,90,1,43,8,6,1,2,133.53176540798611,1,0,1,Duradero,Urbano,-0.7802412641495947,0.868143350480731
18642,24,11,160101,1,1,63,2,77,9,2,0,2,1376.5699869791667,0,1,1,Duradero,Urbano,0.4389681137496409,0.3849753370239902
18642,92,11,160101,1,1,117,2,67,10,6,1,2,3212.8650173611113,0,1,1,Duradero,Urbano,2.2400616624271588,1.3513113639374719
18650,6,12,160101,1,1,50,2,42,9,3,0,2,1093.0653211805554,1,1,1,Duradero,Urbano,0.16089818699955472,0.15233888610037433
18650,6,22,160101,8,9,0,1,61,6,1,1,2,1588.1848958333333,1,0,1,Precario,Urbano,0.6465263986849024,-0.7424166943750715
18644,97,11,160101,1,9,10,1,55,6,4,1,2,639.5752766927084,1,0,1,Precario,Urbano,-0.28389852594839365,-0.5634655782799823
18644,175,11,160101,1,8,28,1,65,5,2,1,2,148.34783935546875,1,0,0,Precario,Urbano,-0.765709211967332,-0.24135356930882187
18621,77,11,160101,1,1,51,2,52,9,4,1,2,800.9274088541666,1,1,1,Duradero,Urbano,-0.12563948832472893,0.17023399770988323
18583,42,11,160101,1,9,81,1,81,5,5,1,2,1077.8805338541665,1,0,0,Precario,Urbano,0.14600448961482096,0.7070873459951508
18634,154,11,160101,1,1,173,2,37,10,6,0,2,2521.367621527778,0,1,1,Duradero,Urbano,1.5618201609492235,2.3534376140699713
18644,20,11,160101,1,1,50,1,51,6,4,1,2,732.1875,1,0,1,Duradero,Urbano,-0.19306166413281167,0.15233888610037433
18644,123,11,160101,1,1,0,1,28,6,5,1,2,473.8779622395833,0,0,1,Duradero,Urbano,-0.44641944941494555,-0.7424166943750715
18651,23,11,160101,1,1,110,2,47,11,7,1,2,565.6268136160714,1,1,1,Duradero,Urbano,-0.3564294088284969,1.2260455826709094
18588,95,11,160101,1,1,37,2,62,6,1,1,2,1623.2506510416667,0,1,1,Duradero,Urbano,0.6809199489806291,-0.08029756482324162
18588,118,11,160101,1,1,99,2,72,9,5,1,2,1014.5051432291666,1,1,1,Duradero,Urbano,0.08384399508041973,1.0291993549663112
18588,132,11,160101,1,1,150,1,68,9,7,1,2,459.30143229166663,1,0,1,Duradero,Urbano,-0.4607165496177581,1.941850047051266
18573,129,11,160101,1,1,29,2,73,10,4,0,2,505.8158772786458,0,1,1,Duradero,Urbano,-0.4150937790932754,-0.22345845769931294
18573,145,11,160101,1,1,73,2,81,10,2,0,2,2296,0,1,1,Duradero,Urbano,1.3407728006402162,0.5639264531190794
18613,3,11,160101,1,9,0,2,34,8,3,1,2,1676.7044270833333,1,1,1,Precario,Urbano,0.7333490246946082,-0.7424166943750715
18613,20,12,160101,1,9,150,1,70,7,3,1,2,872.4701063368055,1,0,1,Precario,Urbano,-0.05546825289739853,1.941850047051266
